,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
adolescence,0.1846225316341369,0.056250011041185356,0.006250000019914047,0.006250000049953328,0.006250000018744008,0.10625001393930332,0.05625001345317165,0.5778774298435913
adolescent,0.30553496043673495,0.11250006350326981,0.012500000047402537,0.012500000118932104,0.1125000728322139,0.31250020164111564,0.012500000043797912,0.11946470137653331
adolescents,0.03125000001771172,0.03125000004994436,0.031250000058586545,0.031250000146893345,0.2812501249002549,0.031250000030105564,0.03125000005415704,0.5312498747423465
adopted,0.025000000022198852,0.22500012246533319,0.025000000073431415,0.02500000018427305,0.22500013825526913,0.02500000003773573,0.2250001350940414,0.22499960386771714
adoration,0.06250000000591627,0.06250000001666006,0.06250000001955255,0.06250000004904599,0.06250000001840293,0.0625000000100526,0.5624999998771517,0.06250000000321784
adoring,0.0625000000352684,0.06250000009913888,0.06250000011642153,0.0625000002915262,0.0625000001095485,0.06250000005988728,0.06250000010751337,0.5624999991806958
adorned,0.3750000409832694,0.04166666676401775,0.04166666678091581,0.04166666695314514,0.041666666774270375,0.04166666672544488,0.041666666772219585,0.3749999582467171
adrift,0.22499994250249555,0.22500020678269267,0.025000000097608378,0.025000000244733797,0.025000000091862016,0.2250000742640087,0.0250000000901029,0.22499977592649595
adult,0.4016323918415674,0.0416666667792088,0.04166666679856667,0.04166666699734345,0.04166666679088663,0.04166666673447147,0.041666666788695295,0.34836760726926025
adulterous,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
adultery,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
adults,0.02500000002099246,0.02500000005923032,0.025000000069435934,0.02500000017420707,0.025000000065397526,0.4250001792363529,0.2250001367596397,0.2249996836147441
advance,0.06250000003559864,0.06250000010025915,0.06250000011755703,0.06250000029470147,0.06250000011070266,0.06250000006049064,0.06250000010876527,0.5624999991719253
advanced,0.017857142869180734,0.017857142891126714,0.16071436298254682,0.017857142957233594,0.01785714289469863,0.16071427612853706,0.017857142893989767,0.5892856463826868
advancing,0.5624999995183712,0.06250000005958069,0.0625000000697597,0.06250000017483918,0.06250000006564985,0.06250000003589339,0.06250000006443539,0.06250000001147085
advantage,0.16585082394624193,0.08653849920577512,0.009615384651563683,0.009615384706135311,0.08653850574564914,0.24038475357306932,0.08653850444665326,0.3149181437249122
adventure,0.45833336514931466,0.23611128406174273,0.013888888923634764,0.01388888897603113,0.013888888921600487,0.013888888906743004,0.013888888920980917,0.23611090613995223
adventurer,0.5624999995183712,0.06250000005958069,0.0625000000697597,0.06250000017483918,0.06250000006564985,0.06250000003589339,0.06250000006443539,0.06250000001147085
adventurers,0.04166666669597453,0.0416666667492817,0.041666666763479625,0.04166666690951691,0.041666666757861785,0.041666666716439274,0.3750002242248898,0.37499977518255634
adventures,0.3749998817259759,0.3750001178905464,0.04166666673005174,0.04166666682560847,0.04166666672633201,0.041666666699239525,0.04166666672521128,0.041666666677034676
adversaries,0.031252372246100286,0.28125011618160295,0.031250000059437295,0.03125000014908489,0.03125000005597819,0.03125000003055838,0.0312500000549572,0.5312475112222809
adversary,0.03125148143842209,0.03125000003955779,0.03125000004641655,0.03125000011631669,0.03125000004368888,0.03125000002385003,0.03125000004294368,0.7812485182488044
adverse,0.37499989846103476,0.37500010119531463,0.041666666723432326,0.04166666680909868,0.041666666720150757,0.04166666669587007,0.04166666671912886,0.04166666667597007
adversity,0.06250000003763835,0.06250000010602015,0.06250000012462749,0.06250000031200152,0.06250000011716246,0.06250000006408207,0.06250000011494103,0.562499999123527
advertise,0.5624999994726286,0.06250000006509,0.06250000007642637,0.06250000019152394,0.0625000000719273,0.06250000003928717,0.06250000007059117,0.06250000001252534
advertised,0.5624999995407701,0.06250000005668907,0.06250000006649724,0.06250000016675925,0.06250000006265541,0.06250000003423298,0.06250000006146754,0.06250000001092842
advice,0.18749990224049592,0.020833333395075974,0.020833333405868525,0.020833333515154095,0.02083333340157381,0.5208337002393999,0.02083333340027964,0.1874997304021521
advised,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
adviser,0.06250000003559864,0.06250000010025915,0.06250000011755703,0.06250000029470147,0.06250000011070266,0.06250000006049064,0.06250000010876527,0.5624999991719253
advisers,0.2812500050399664,0.03125000007385212,0.0312500000865079,0.03125000021697909,0.031250000081461254,0.031250000044472,0.03125000007994182,0.5312499943768195
advising,0.40165304824248077,0.04166666678775131,0.04166666680860685,0.041666667022550244,0.04166666680032039,0.0416666667396339,0.04166666679796916,0.3483469508006874
aerial,0.06250000003179126,0.06250000008943807,0.06250000010497701,0.062500000263059,0.06250000009885068,0.06250000005403487,0.06250000009696238,0.5624999992608867
affair,0.37500005581856294,0.04166666677203209,0.04166666679019,0.04166666697639367,0.04166666678301513,0.04166666673015969,0.04166666678082334,0.3749999433488231
affairs,0.23956238184740694,0.013888888924053136,0.01388888893014311,0.013888888992381599,0.1250000702806072,0.0138888889100813,0.125000068633916,0.45488192348141054
affected,0.37500003989073993,0.04166666676594548,0.041666666783090764,0.04166666695853175,0.04166666677626665,0.04166666672655181,0.04166666677419815,0.3749999593246755
affecting,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
affection,0.007812647445538475,0.19531265098736988,0.007812500020330227,0.007812500051011582,0.07031248832131408,0.13281247673864055,0.13281258026311038,0.4453121561726848
affectionate,0.0312523722484145,0.03125000005738875,0.031250000067300575,0.031250000168799405,0.031250000063392465,0.2812500562554734,0.03125000006222221,0.5312475710770087
affinity,0.06250000003374016,0.06250000009487813,0.06250000011143321,0.06250000027895809,0.0625000001048479,0.06250000005728822,0.06250000010306578,0.5624999992157885
afflicted,0.041666666691794696,0.04166666673747576,0.04166666674977645,0.0416666668750382,0.37500018959913345,0.04166666670941532,0.04166666674342328,0.37499980989394294
affliction,0.3124999906736474,0.012500000044069507,0.2125003133279264,0.012500000129779167,0.11250007282722936,0.11249995313481408,0.11250007085589896,0.11249959900663509
afflictions,0.06251155120438665,0.06250000011863072,0.06250000013893899,0.0625000003482954,0.06250000013086551,0.0625000000714732,0.06250000012862593,0.5624884478587836
affray,0.06250000003179126,0.06250000008943807,0.06250000010497701,0.062500000263059,0.06250000009885068,0.06250000005403487,0.06250000009696238,0.5624999992608867
afloat,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
afraid,0.4464284858540861,0.017857142882879855,0.3035715884432775,0.017857142932952524,0.017857142885593733,0.1607142112540855,0.017857142885051285,0.017857142862073464
afternoons,0.1264370520590785,0.013888888930338046,0.12500008996649348,0.013888889010819054,0.12500008349147587,0.013888888913860507,0.1250000815008457,0.45689602612708874
aftershock,0.562499999588452,0.06250000005080945,0.06250000005964192,0.06250000014938498,0.06250000005615673,0.062500000030657,0.06250000005508795,0.06250000000981003
aftertaste,0.041666666694577775,0.041666666745374496,0.04166666675908698,0.04166666689829617,0.37500021567581393,0.04166666671418037,0.041666666751982204,0.37499978376068804
afterward,0.5312499492689252,0.03125000002959846,0.28125005052599567,0.03125000008713825,0.03125000003271252,0.0312500000178499,0.03125000003209412,0.03125000000568587
again-,0.062500000005662,0.562499999881117,0.06250000001869889,0.06250000004693641,0.06250000001761837,0.06250000000961976,0.06250000001727339,0.06250000000307432
aged,0.40421833758675113,0.012500000030910749,0.11250005709517731,0.012500000090969852,0.1125000526056057,0.012500000018633084,0.01250000003351232,0.32078155253843993
ageless,0.0625000000359659,0.06250000010128619,0.06250000011894281,0.06250000029794597,0.06250000011197229,0.06250000006118246,0.06250000010980078,0.5624999991629036
agent,0.041850774302984,0.04166666677584789,0.041666666794958444,0.04166666698775155,0.0416666667871321,0.04166666673253262,0.041666666785110315,0.708149224833683
agents,0.06250000003179126,0.06250000008943807,0.06250000010497701,0.062500000263059,0.06250000009885068,0.06250000005403487,0.06250000009696238,0.5624999992608867
ageold,0.013888888899653942,0.013888888919291598,0.1250000445393659,0.01388888897844572,0.01388888892248456,0.34722235473655866,0.12500003929196787,0.34722200571223155
ages,0.025050005563754613,0.025000000043962023,0.02500000005160777,0.025000000129297217,0.025000000048518586,0.025000000026503343,0.025000000047685326,0.8249499940886711
aggravated,0.041666666698653224,0.04166666675685701,0.041666666772652905,0.0416666669321956,0.041666666766357205,0.37500011568850394,0.04166666676444724,0.37499988362033293
aggressive,0.562499999588452,0.06250000005080945,0.06250000005964192,0.06250000014938498,0.06250000005615673,0.062500000030657,0.06250000005508795,0.06250000000981003
aggressiveness,0.03125237224759852,0.031250000054729735,0.031250000064133567,0.03125000016088016,0.03125000006040336,0.031250000032964326,0.28125013820112577,0.5312474891781646
agile,0.04166666669611542,0.04166666674961034,0.04166666676409464,0.041666666910672986,0.04166666675831653,0.3750001020653135,0.04166666675672871,0.374999897299148
aging,0.031250000017507114,0.03125000004936483,0.03125000005792912,0.031250000145241395,0.2812501230232327,0.03125000002977804,0.03125000005353323,0.5312498766234136
agitation,0.781238820433944,0.03125000002594472,0.03125000003047639,0.031250000076298086,0.03125000002862716,0.03125000001564056,0.0312500000281473,0.0312611793609218
agitator,0.062500000005662,0.562499999881117,0.06250000001869889,0.06250000004693641,0.06250000001761837,0.06250000000961976,0.06250000001727339,0.06250000000307432
ago,0.18749997033010535,0.02083333338262285,0.020833333391072493,0.020833333478110908,0.020833333387696665,0.020846194951601792,0.02083333338667344,0.6874871676921165
agonizing,0.041666666684057246,0.04166666671565633,0.041666666724174,0.0416666668108266,0.04166666672081585,0.041666666696250076,0.04166666671978078,0.708333332928439
agony,0.04166666668619393,0.04166666672169205,0.04166666673132918,0.04166666682859804,0.04166666672747834,0.04166666669989542,0.04166666672638106,0.7083333328784319
agree,0.062500000005662,0.562499999881117,0.06250000001869889,0.06250000004693641,0.06250000001761837,0.06250000000961976,0.06250000001727339,0.06250000000307432
